#,English Name,Cost IQD,Chinese Name,Platform,Offline Price IQD,English Support,Cover URL,Store Link,NSUID,Publisher,Languages,Matched Title,Source
1342,Knights and Bikes,1496,骑士与单车,Nintendo Switch 2,5000,نعم,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_KnightsAndBikes_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Knights-and-Bikes-1711262.html,,,english,Knights and Bikes,EU
1343,Tiny Bookshop,1496,小小书店,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Tiny-Bookshop-2888547.html,,,"chinese, english, french, german, japanese, russian, spanish",Tiny Bookshop,EU
1344,A Game About Digging A Hole,1496,掘地求财,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/A-Game-About-Digging-A-Hole--2937672.html,,,"chinese, english, french, german, italian, japanese, korean, portuguese, russian, spanish",A Game About Digging A Hole™,EU
1345,Goodnight Universe,1496,晚安宇宙,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Goodnight-Universe-2995004.html,,,"chinese, english, french, german, japanese, portuguese, spanish",Goodnight Universe,EU
1346,Outlanders,1496,异乡人,Nintendo Switch 2,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Outlanders-2936158.html,,,"chinese, dutch, english, french, german, italian, japanese, korean, portuguese, russian, spanish",Outlanders,EU
1347,Codename: Ocean Keeper,1496,代号 海洋守卫,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Codename-Ocean-Keeper-2734046.html,,,"chinese, english, french, german, italian, japanese, korean, portuguese, russian, spanish",Codename: Ocean Keeper,EU
1348,Roots of Pacha,1496,柏查的根源,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Roots-of-Pacha-2476644.html,,,"chinese, english, french, german, japanese, portuguese, russian, spanish",Roots of Pacha,EU
1349,Kiniro no Hidamari to Kimi no Tonari,1496,金色阳光,Nintendo Switch 2,5000,نعم,,,,,,,
1350,Sophia the Traveler,1496,旅人苏菲亚,Nintendo Switch,5000,نعم,,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-download-software/Sophia-the-Traveler-2543941.html,,,"chinese, english, german, italian, japanese, korean, spanish",Sophia the Traveler,EU
1351,Root Film,1496,方根胶卷,Nintendo Switch 2,5000,نعم,https://www.nintendo.com/eu/media/images/05_packshots/games_13/nintendo_switch_8/PS_NSwitch_RootFilm_PEGI_image500w.jpg,https://www.nintendo.com/en-gb/Games/Nintendo-Switch-games/Root-Film-1892971.html,,,english,Root Film,EU
